,__run_id,__done,problem,llm,iteration,dram_energy,package_energy,pp0_energy,pp1_energy,log_energy,log_time,log_exec,avg_cpu_usage
917,run_9_repetition_9,DONE,E-PN,ChatGPT,0,0.0,39887755.616,35863056.208,4251930.559,1335.1529541015625,60.038437,4090000.0,6.331068990882053
918,run_23_repetition_3,DONE,M-GS,Claude,2,0.0,40329434.825,36221739.099,4255948.83,1210.4002075195312,60.03399,4420000.0,6.339462467404299
919,run_41_repetition_2,DONE,H-MN,Claude,2,0.0,40754599.298,36564211.026,4260165.1,1236.6309204101565,60.039715,617000.0,6.320138909095942
920,run_7_repetition_8,DONE,E-UE,Gemini,1,0.0,41198268.847,36923974.515,4264256.3,1346.0491333007812,60.03912,11470000.0,6.3144123041352564
921,run_20_repetition_3,DONE,M-GS,ChatGPT,2,0.0,41660228.245,37301957.662,4268325.289,1337.5455932617188,60.03914,4320000.0,6.329011047203279
922,run_9_repetition_10,DONE,E-PN,ChatGPT,0,0.0,42110809.14,37666835.277,4272820.998,1261.4193725585938,60.038364,3960000.0,6.340669486411782
923,run_7_repetition_12,DONE,E-UE,Gemini,1,0.0,42541075.941,38012845.859,4276923.589,1230.3284912109375,60.037262,11030000.0,6.3822257515797975
924,run_41_repetition_5,DONE,H-MN,Claude,2,0.0,42992710.908,38355972.92,4281429.339,1237.1937255859375,60.03642,616000.0,6.318563958735165
925,run_9_repetition_16,DONE,E-PN,ChatGPT,0,0.0,43424818.939,38702432.792,4285989.614,1253.9366455078125,60.03705,4000000.0,6.336360869811619
926,run_45_repetition_9,DONE,H-SF,ChatGPT,0,0.0,43833036.513,39026936.615,4290408.577,1101.4297485351565,60.037476,7000.0,6.33619289897209
927,run_29_repetition_6,DONE,M-CS,ChatGPT,2,0.0,44252810.836,39362893.82,4294964.81,1305.3628540039065,60.039375,780000.0,6.309149118752971
928,run_35_repetition_7,DONE,M-CS,Gemini,2,0.0,44700593.692,39725263.724,4299579.066,1284.470947265625,60.038036,820000.0,6.306925574410397
929,run_3_repetition_4,DONE,E-UE,Claude,0,0.0,45142188.263,40079445.297,4304064.914,1262.8970947265625,60.038322,9130000.0,6.342160500957324
930,run_42_repetition_5,DONE,H-MN,Gemini,0,0.0,45583603.791,40435545.628,4308408.321,1314.0877685546875,60.029743,635000.0,6.324322863274634
931,run_39_repetition_10,DONE,H-MN,Claude,0,0.0,46025176.211,40794319.019,4312543.254,1228.6642456054688,60.036877,597000.0,6.314114267049834
932,run_19_repetition_15,DONE,M-GS,ChatGPT,1,0.0,46466355.53,41151787.594,4317166.966,1340.931884765625,60.038216,4320000.0,6.3085866305123135
933,run_27_repetition_3,DONE,M-CS,ChatGPT,0,0.0,46915704.597,41516699.394,4321634.878,1276.5023193359375,60.038654,790000.0,6.33385302497699
934,run_50_repetition_9,DONE,H-SF,Claude,2,0.0,47361838.594,41853238.094,4326471.381,1157.0370483398438,60.039474,5900.0,6.340380753195563
935,run_19_repetition_19,DONE,M-GS,ChatGPT,1,0.0,47792700.613,42201606.246,4330861.374,1332.0305786132812,60.037304,4340000.0,6.3127067766316305
936,run_44_repetition_15,DONE,H-MN,Gemini,2,0.0,48243900.058,42569290.187,4335240.435,1298.6350708007812,60.036995,297000.0,6.317945073807358
937,run_39_repetition_1,DONE,H-MN,Claude,0,0.0,48681359.31,42920462.722,4339660.046,1233.4615478515625,60.037388,594000.0,6.336608858005549
938,run_52_repetition_2,DONE,H-SF,Gemini,1,0.0,49088389.525,43242500.211,4344059.102,1131.4708862304688,60.03875,6800.0,6.338902155525265
939,run_17_repetition_10,DONE,E-PN,Gemini,2,0.0,49516934.903,43586182.049,4348488.664,1329.0628051757812,60.037422,4040000.0,6.310053445027516
940,run_12_repetition_14,DONE,E-PN,Claude,0,0.0,49960963.372,43944107.176,4353151.731,1241.4150390625,60.039284,3960000.0,6.330237642970196
941,run_24_repetition_12,DONE,M-GS,Gemini,0,0.0,50399328.105,44297872.666,4357696.891,1318.3851318359375,60.03607,4460000.0,6.322608227943661
942,run_40_repetition_12,DONE,H-MN,Claude,1,0.0,50850732.276,44664636.173,4362399.307,1315.1858520507812,60.03879,636000.0,6.329611221223178
943,run_40_repetition_6,DONE,H-MN,Claude,1,0.0,51291855.367,45020197.169,4367041.9,1228.5484008789065,60.038338,621000.0,6.313785972587294
944,run_20_repetition_2,DONE,M-GS,ChatGPT,2,0.0,51734657.894,45375235.006,4371190.141,1326.14111328125,60.03854,4310000.0,6.310027472006523
945,run_0_repetition_3,DONE,E-UE,ChatGPT,0,0.0,52174724.095,45731767.439,4375583.899,1240.513427734375,60.0385,11140000.0,6.324618630829048
946,run_6_repetition_18,DONE,E-UE,Gemini,0,0.0,52604596.979,46075231.853,4380167.799,1240.435302734375,60.038338,10940000.0,6.321297486755143
947,run_35_repetition_19,DONE,M-CS,Gemini,2,0.0,53036073.357,46419915.104,4384888.743,1261.2919311523438,60.03865,830000.0,6.304332781471683
948,run_17_repetition_18,DONE,E-PN,Gemini,2,0.0,53476719.352,46773057.724,4389350.213,1304.1886596679688,60.038593,3940000.0,6.321588975646567
949,run_32_repetition_5,DONE,M-CS,Claude,2,0.0,53912758.233,47123980.94,4393653.157,1197.4807739257812,60.03803,780000.0,6.334605915403841
950,run_19_repetition_18,DONE,M-GS,ChatGPT,1,0.0,54344406.961,47471046.249,4398003.815,1313.4208374023438,60.03685,4200000.0,6.327442780087557
951,run_8_repetition_14,DONE,E-UE,Gemini,2,0.0,54796448.05,47837569.929,4402546.115,1326.578369140625,60.030075,11320000.0,6.325157538600934
952,run_26_repetition_8,DONE,M-GS,Gemini,2,0.0,55247775.151,48204301.971,4407021.715,1305.2081909179688,60.03469,4500000.0,6.322631881482577
953,run_17_repetition_13,DONE,E-PN,Gemini,2,0.0,55702618.992,48573503.26,4411486.982,1327.560791015625,60.037987,4030000.0,6.313016902568728
954,run_39_repetition_13,DONE,H-MN,Claude,0,0.0,56152174.701,48937494.672,4415862.575,1295.3493041992188,60.039787,615000.0,6.313174444575642
955,run_31_repetition_4,DONE,M-CS,Claude,1,0.0,56600659.24,49276125.274,4420473.695,1188.9695434570312,60.0375,770000.0,6.370645259701928
956,run_45_repetition_7,DONE,H-SF,ChatGPT,0,0.0,56991765.668,49576510.891,4424589.303,1011.361328125,60.039547,7000.0,6.2561131633595375
957,run_35_repetition_15,DONE,M-CS,Gemini,2,0.0,57421969.666,49903991.505,4429270.041,1265.076171875,60.03904,830000.0,6.328567140918238
958,run_36_repetition_1,DONE,H-MN,ChatGPT,0,0.0,57865093.251,50262301.235,4433457.955,1309.8883666992188,60.03782,632000.0,6.326644925976116
959,run_36_repetition_4,DONE,H-MN,ChatGPT,0,0.0,58301326.991,50613112.573,4437615.544,1219.9698486328125,60.038403,614000.0,6.322104529090894
960,run_34_repetition_13,DONE,M-CS,Gemini,1,0.0,58720109.762,50944711.255,4441896.989,1195.9906616210938,60.038208,820000.0,6.335772360480109
961,run_49_repetition_9,DONE,H-SF,Claude,1,0.0,59133818.429,51268334.285,4446502.408,1178.6806640625,60.032066,5900.0,6.378869760868161
962,run_27_repetition_5,DONE,M-CS,ChatGPT,0,0.0,59551897.311,51602043.422,4450943.412,1201.284912109375,60.033794,780000.0,6.336843897634963
963,run_19_repetition_7,DONE,M-GS,ChatGPT,1,0.0,59987167.159,51952478.942,4455212.395,1312.4402465820312,60.03822,4280000.0,6.318468238032142
964,run_40_repetition_11,DONE,H-MN,Claude,1,0.0,60428746.76,52308699.006,4459858.304,1242.640869140625,60.0382,622000.0,6.315763217666221
965,run_49_repetition_17,DONE,H-SF,Claude,1,0.0,60842781.397,52638566.294,4464512.89,1149.5886840820312,60.039734,5900.0,6.324237771802566
966,run_9_repetition_1,DONE,E-PN,ChatGPT,0,0.0,61261756.018,52973111.381,4469204.278,1226.5023803710938,60.038147,3920000.0,6.335084234559258
967,run_37_repetition_16,DONE,H-MN,ChatGPT,1,0.0,61702904.032,53330201.905,4473776.694,1336.8284912109375,60.03738,642000.0,6.309449406953349
968,run_47_repetition_14,DONE,H-SF,ChatGPT,2,0.0,62127635.176,53669784.591,4478320.302,1133.4371948242188,60.037754,6800.0,6.321112293935693
969,run_20_repetition_16,DONE,M-GS,ChatGPT,2,0.0,62540490.881,53997252.987,4482565.641,1228.0366821289065,60.038242,4210000.0,6.326786793941675
970,run_22_repetition_5,DONE,M-GS,Claude,1,0.0,62970173.969,54341741.571,4487063.766,1231.988037109375,60.03798,4440000.0,6.3444015013419115
971,run_46_repetition_9,DONE,H-SF,ChatGPT,1,0.0,63377078.749,54663971.159,4490935.349,1125.7518310546875,60.037247,6800.0,6.325431210357089
972,run_30_repetition_16,DONE,M-CS,Claude,0,0.0,63797045.827,54997491.192,4495420.265,1285.6653442382812,60.038685,800000.0,6.327167418906063
973,run_32_repetition_10,DONE,M-CS,Claude,2,0.0,64232367.959,55345962.058,4500008.411,1206.308349609375,60.038437,790000.0,6.3330600504265275
974,run_25_repetition_13,DONE,M-GS,Gemini,1,0.0,64673155.808,55698278.393,4504458.807,1335.1218872070312,60.037754,4530000.0,6.358746278523607
975,run_28_repetition_0,DONE,M-CS,ChatGPT,1,0.0,65154082.38,56066955.097,4509410.041,1278.5454711914065,60.0376,790000.0,6.325430235197378
976,run_8_repetition_13,DONE,E-UE,Gemini,2,0.0,65595046.503,56414084.995,4513809.948,1208.602783203125,60.037468,10930000.0,6.277507867131915
977,run_53_repetition_17,DONE,H-SF,Gemini,2,0.0,66005036.239,56739337.772,4517891.405,1210.1506958007812,60.03941,7500.0,6.386437864794684
978,run_40_repetition_14,DONE,H-MN,Claude,1,0.0,66442545.262,57070520.487,4522106.463,1212.7010498046875,60.03659,612000.0,6.3292965655311
979,run_26_repetition_10,DONE,M-GS,Gemini,2,0.0,66895214.898,57416392.455,4526787.286,1281.2940673828125,60.033314,4500000.0,6.324051618972094
980,run_51_repetition_1,DONE,H-SF,Gemini,0,0.0,67315239.585,57750487.392,4530946.746,1159.8145751953125,60.037342,5900.0,6.3201465006682565
981,run_36_repetition_7,DONE,H-MN,ChatGPT,0,0.0,67729370.315,58083341.861,4535236.832,1228.9151000976565,60.03652,621000.0,6.322081673778965
982,run_38_repetition_18,DONE,H-MN,ChatGPT,2,0.0,68177904.466,58421478.411,4539926.3,1204.348876953125,60.036392,620000.0,6.360852927860628
983,run_28_repetition_3,DONE,M-CS,ChatGPT,1,0.0,68591883.682,58748626.029,4543899.209,1179.1357421875,60.038647,780000.0,6.310111314850392
984,run_20_repetition_6,DONE,M-GS,ChatGPT,2,0.0,69006305.402,59076343.379,4548132.394,1212.9784545898438,60.03878,4190000.0,6.3210713370297835
985,run_13_repetition_14,DONE,E-PN,Claude,1,0.0,69447041.872,59432269.518,4552516.525,1339.6157836914065,60.039146,4040000.0,6.334500425083693
986,run_3_repetition_5,DONE,E-UE,Claude,0,0.0,69903099.731,59804051.818,4556878.906,1315.0769653320312,60.03898,9270000.0,6.330573729106358
987,run_19_repetition_12,DONE,M-GS,ChatGPT,1,0.0,70339563.053,60155122.565,4561175.422,1215.4607543945312,60.038113,4120000.0,6.316241371671227
988,run_11_repetition_3,DONE,E-PN,ChatGPT,2,0.0,70777122.034,60507599.45,4565437.931,1323.2780151367188,60.03938,4070000.0,6.3246285881711
989,run_23_repetition_15,DONE,M-GS,Claude,2,0.0,71228045.912,60874379.92,4569689.121,1314.3436279296875,60.023193,4560000.0,6.3284616095085084
990,run_41_repetition_9,DONE,H-MN,Claude,2,0.0,71682878.393,61245371.344,4574077.701,1323.607666015625,60.036507,629000.0,6.32382704391828
991,run_23_repetition_18,DONE,M-GS,Claude,2,0.0,72123208.156,61602173.157,4578471.361,1227.0910034179688,60.037632,4450000.0,6.315327559198652
992,run_16_repetition_12,DONE,E-PN,Gemini,1,0.0,72561801.748,61957026.058,4582735.675,1320.5037231445312,60.03499,4120000.0,6.321807721128495
993,run_15_repetition_4,DONE,E-PN,Gemini,0,0.0,73015368.34,62327144.279,4587013.978,1332.0477905273438,60.0375,4070000.0,6.320306129035759
994,run_25_repetition_0,DONE,M-GS,Gemini,1,0.0,73467670.342,62693850.742,4591216.813,1314.4676513671875,60.037193,4500000.0,6.3318056887962495
995,run_51_repetition_4,DONE,H-SF,Gemini,0,0.0,73893111.91,63034704.773,4595491.448,1140.4238891601565,60.03885,5900.0,6.313508683660894
996,run_6_repetition_3,DONE,E-UE,Gemini,0,0.0,74314006.347,63372053.254,4599988.829,1261.9562377929688,60.038235,11160000.0,6.324392771206029
997,run_22_repetition_3,DONE,M-GS,Claude,1,0.0,74743746.197,63712699.475,4604116.912,1216.3518676757812,60.03656,4440000.0,6.321090744777376
998,run_15_repetition_14,DONE,E-PN,Gemini,0,0.0,75185049.366,64067120.105,4608243.178,1335.9641723632812,60.034355,4060000.0,6.325417656835132
999,run_38_repetition_10,DONE,H-MN,ChatGPT,2,0.0,75627501.181,64425809.026,4612326.788,1233.2119750976565,60.038845,623000.0,6.32359686919621
1000,run_3_repetition_3,DONE,E-UE,Claude,0,0.0,76078078.029,64768454.001,4616693.188,1226.0575561523438,60.037952,9050000.0,6.322274428467418
1001,run_50_repetition_17,DONE,H-SF,Claude,2,0.0,76486471.271,65091748.583,4620960.798,1127.0792846679688,60.038532,5800.0,6.3398610901991
1002,run_12_repetition_11,DONE,E-PN,Claude,0,0.0,76902963.16,65425108.722,4625039.29,1252.138671875,60.03835,3990000.0,6.326884086147891
1003,run_26_repetition_15,DONE,M-GS,Gemini,2,0.0,77342636.722,65776995.526,4629309.626,1312.7233276367188,60.037727,4570000.0,6.306453427603079
1004,run_30_repetition_1,DONE,M-CS,Claude,0,0.0,77776210.333,66126918.98,4633526.317,1198.7913208007812,60.03847,780000.0,6.339525627634454
1005,run_4_repetition_18,DONE,E-UE,Claude,1,0.0,78197364.825,66462877.063,4637737.663,1239.5654907226565,60.041153,10920000.0,6.325899792271991
1006,run_38_repetition_15,DONE,H-MN,ChatGPT,2,0.0,78618065.844,66798512.439,4641898.906,1191.5573120117188,60.023537,623000.0,6.331581462261289
1007,run_8_repetition_12,DONE,E-UE,Gemini,2,0.0,14260671.563,8586425.555,923216.943,1184.9782104492188,60.038445,10900000.0,6.467420980977853
1008,run_53_repetition_9,DONE,H-SF,Gemini,2,0.0,531469.914,67449758.888,4650306.572,1127.4933471679688,60.040707,7500.0,6.3491261781648145
1009,run_9_repetition_11,DONE,E-PN,ChatGPT,0,0.0,946639.755,67779129.397,4654717.725,1243.0015258789065,60.037937,3960000.0,6.322645848375618
1010,run_26_repetition_9,DONE,M-GS,Gemini,2,0.0,1383712.212,68131436.851,4659069.351,1320.651611328125,60.034027,4530000.0,6.346873323485701
1011,run_15_repetition_13,DONE,E-PN,Gemini,0,0.0,1828345.989,68491143.72,4663328.859,1237.466064453125,60.037937,3950000.0,6.315820514363704
1012,run_25_repetition_7,DONE,M-GS,Gemini,1,0.0,2271148.295,68842730.197,4667754.773,1323.6981201171875,60.03618,4460000.0,6.327585664896474
1013,run_14_repetition_1,DONE,E-PN,Claude,2,0.0,2729587.335,69217139.525,4672368.547,1328.6190795898438,60.037754,4040000.0,6.3145701714924405
1014,run_18_repetition_9,DONE,M-GS,ChatGPT,0,0.0,3168785.634,69571118.887,4676447.692,1222.1057739257812,60.037834,4270000.0,6.319670673422639
1015,run_44_repetition_17,DONE,H-MN,Gemini,2,0.0,3585351.485,69899329.896,4680982.271,1162.51806640625,60.0377,288000.0,6.320890216138276
1016,run_27_repetition_12,DONE,M-CS,ChatGPT,0,0.0,4004310.565,70235212.286,4685238.135,1273.88427734375,60.037003,800000.0,6.321004200417338
1017,run_7_repetition_18,DONE,E-UE,Gemini,1,0.0,4456013.082,70603235.83,4689197.14,1344.3719482421875,60.03776,11430000.0,6.3241869642885025
1018,run_26_repetition_18,DONE,M-GS,Gemini,2,0.0,4911668.041,70976325.722,4693088.108,1322.0411376953125,60.038044,4490000.0,6.312970541046307
1019,run_15_repetition_11,DONE,E-PN,Gemini,0,0.0,5361978.687,71342513.826,4697439.406,1315.502685546875,60.03675,4050000.0,6.3227525931656166
1020,run_49_repetition_8,DONE,H-SF,Claude,1,0.0,5785681.44,71683555.759,4701754.405,1144.6797485351565,60.039963,5900.0,6.335334266539032
1021,run_23_repetition_1,DONE,M-GS,Claude,2,0.0,6211638.703,72027013.219,4706139.839,1306.7133178710938,60.033184,4550000.0,6.327624772276197
1022,run_34_repetition_18,DONE,M-CS,Gemini,1,0.0,6645424.283,72375745.996,4710469.658,1203.2973022460938,60.03877,810000.0,6.306238643750796
1023,run_12_repetition_19,DONE,E-PN,Claude,0,0.0,7074992.506,72720307.885,4714741.379,1276.7520141601565,60.036423,4000000.0,6.317287836954047
1024,run_42_repetition_14,DONE,H-MN,Gemini,0,0.0,7521904.513,73083081.989,4719055.425,1333.774169921875,60.03683,637000.0,6.3601189529974995
1025,run_52_repetition_16,DONE,H-SF,Gemini,1,0.0,7946618.157,73423435.221,4723513.1,1121.8402099609375,60.03949,6800.0,6.327905014305812
1026,run_4_repetition_5,DONE,E-UE,Claude,1,0.0,8362861.477,73755359.769,4727488.997,1256.4636840820312,60.037792,11100000.0,6.303614228171764
1027,run_10_repetition_14,DONE,E-PN,ChatGPT,1,0.0,8796598.915,74102422.19,4731852.353,1246.9025268554688,60.0378,3970000.0,6.300792614684944
1028,run_24_repetition_11,DONE,M-GS,Gemini,0,0.0,9217933.291,74439593.856,4736310.332,1184.7942504882812,60.037895,4320000.0,6.3210117389197364
1029,run_25_repetition_18,DONE,M-GS,Gemini,1,0.0,9637112.817,74772980.75,4740844.725,1191.3903198242188,60.038177,4360000.0,6.331877577146423
1030,run_49_repetition_16,DONE,H-SF,Claude,1,0.0,10051472.385,75100076.945,4744889.878,1154.8483276367188,60.03884,5900.0,6.324561490569004
1031,run_24_repetition_5,DONE,M-GS,Gemini,0,0.0,10464442.998,75433093.826,4749042.904,1213.9080810546875,60.037704,4370000.0,6.305142009773127
1032,run_31_repetition_14,DONE,M-CS,Claude,1,0.0,10893534.743,75777907.933,4753243.216,1232.2412719726565,60.03932,790000.0,6.343914020695164
1033,run_38_repetition_14,DONE,H-MN,ChatGPT,2,0.0,11327235.57,76125323.068,4757534.317,1244.0365600585938,60.038525,623000.0,6.3349705158278
1034,run_41_repetition_17,DONE,H-MN,Claude,2,0.0,11765924.671,76478162.341,4761570.116,1313.27734375,60.0386,626000.0,6.311042916933167
1035,run_43_repetition_6,DONE,H-MN,Gemini,1,0.0,12208293.278,76835020.324,4765775.031,1222.6288452148438,60.038868,619000.0,6.30761392667048
1036,run_23_repetition_9,DONE,M-GS,Claude,2,0.0,12645265.057,77186589.452,4770003.531,1315.1802368164065,60.037743,4550000.0,6.326536424334263
1037,run_48_repetition_13,DONE,H-SF,Claude,0,0.0,13074092.957,77531552.2,4774191.115,1157.8663940429688,60.03976,5900.0,6.324898436120974
1038,run_12_repetition_4,DONE,E-PN,Claude,0,0.0,13503100.853,77876840.413,4778398.571,1314.4403076171875,60.037666,4060000.0,6.315182978726701
1039,run_21_repetition_0,DONE,M-GS,Claude,0,0.0,13968090.235,78230893.49,4782996.324,1185.263427734375,60.037907,4250000.0,6.334896106062537
1040,run_21_repetition_14,DONE,M-GS,Claude,0,0.0,14384018.708,78559705.153,4787091.698,1199.986083984375,60.037224,4360000.0,6.340878598416762
1041,run_35_repetition_0,DONE,M-CS,Gemini,2,0.0,14811593.056,39841973.494,4791283.872,1270.2211303710938,60.040257,840000.0,6.321102565903204
1042,run_19_repetition_9,DONE,M-GS,ChatGPT,1,0.0,15250725.836,349793.608,4795494.33,1279.1452026367188,60.0325,4270000.0,6.312195385017268
1043,run_32_repetition_14,DONE,M-CS,Claude,2,0.0,15717253.133,706044.384,4799993.605,1261.3695068359375,60.034683,800000.0,6.3454234351549434
1044,run_43_repetition_1,DONE,H-MN,Gemini,1,0.0,16162002.912,1065465.566,4804391.015,1315.892333984375,60.03718,631000.0,6.330509674113454
1045,run_45_repetition_19,DONE,H-SF,ChatGPT,0,0.0,16582063.641,1400355.397,4808708.273,1118.8515014648438,60.03969,7000.0,6.334692063323683
1046,run_19_repetition_17,DONE,M-GS,ChatGPT,1,0.0,16990943.442,1722364.384,4812862.491,1245.0413208007812,60.037987,4160000.0,6.355639174729091
1047,run_29_repetition_17,DONE,M-CS,ChatGPT,2,0.0,17438728.651,2064909.18,4817106.689,1261.8287963867188,60.037857,790000.0,6.322284109370653
1048,run_44_repetition_16,DONE,H-MN,Gemini,2,0.0,17866562.534,2407509.731,4821147.025,1194.8572387695312,60.034435,288000.0,6.332979149101581
